Agent,Time,Method,Resource,Version,Status
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML like Gecko) Chrome/110.0.0.0 Safari/537.36,2023-03-28T21:35:21.462Z,GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML like Gecko) Chrome/110.0.0.0 Safari/537.36,2023-03-28T21:35:22.464Z,GET,/logs,HTTP/1.1,200
node-superagent/2.3.0,2023-03-28T21:37:56.417Z,GET,/,HTTP/1.1,200
node-superagent/2.3.0,2023-03-28T21:37:56.423Z,GET,/,HTTP/1.1,200
node-superagent/2.3.0,2023-03-28T21:37:56.426Z,GET,/,HTTP/1.1,200
node-superagent/2.3.0,2023-03-28T21:37:56.429Z,GET,/,HTTP/1.1,200
node-superagent/2.3.0,2023-03-28T21:37:56.431Z,GET,/,HTTP/1.1,200
node-superagent/2.3.0,2023-03-28T21:37:56.433Z,GET,/,HTTP/1.1,200
node-superagent/2.3.0,2023-03-28T21:37:56.435Z,GET,/,HTTP/1.1,200
node-superagent/2.3.0,2023-03-28T21:37:56.436Z,GET,/,HTTP/1.1,200
node-superagent/2.3.0,2023-03-28T21:37:56.438Z,GET,/logs,HTTP/1.1,200
node-superagent/2.3.0,2023-03-28T21:37:56.443Z,GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML like Gecko) Chrome/110.0.0.0 Safari/537.36,2023-03-28T21:39:01.874Z,GET,/logs,HTTP/1.1,200
